account_id,snapshot_date,industry,country,referral_source,tenure_days,total_active_subs,total_mrr,total_seats,max_seats,monthly_ratio,has_manual_renew,active_trials,had_downgrade_30,had_upgrade_30,had_downgrade_31_90,had_upgrade_31_90,primary_plan,enterprise_ratio,pro_ratio,days_since_last_action,unique_features_last_30d,unique_features_31_to_90d,breadth_decay_ratio,active_days_last_30d,activity_drop_ratio,total_usage_count_30d,avg_duration_last_30d,had_error_last_30d,tickets_last_30d,tickets_31_to_90d,escalated_last_90d,had_urgent_ticket_last_90d,avg_resolution_last_90d,latest_csat_score,target
A-00bed1,2024-12-01,Cybersecurity,US,ads,383,10,33506,342,61,0.4,True,1,False,False,False,False,Enterprise,0.5,0.4,11,2,5,0.4,2,0.4,18,2182.5,1,0,0,0,0,0.0,4.0,0
A-00cac8,2024-12-01,HealthTech,AU,organic,443,8,13190,119,39,0.625,True,1,False,False,False,False,Basic,0.375,0.25,51,0,3,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,0
A-0158bb,2024-12-01,FinTech,DE,partner,193,4,836,89,35,0.75,True,2,False,False,False,False,Basic,0.25,0.0,4,1,4,0.25,1,0.25,7,1463.0,0,0,0,0,0,0.0,3.0,0
A-016043,2024-12-01,EdTech,CA,organic,123,9,13435,186,59,0.333,True,2,False,True,False,True,Enterprise,0.556,0.111,42,0,4,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,0
A-019782,2024-12-01,DevTools,FR,event,592,8,8353,108,17,0.25,True,1,False,False,False,False,Basic,0.25,0.375,3,2,4,0.5,2,0.5,13,2564.0,1,1,1,0,1,10.0,3.0,0
A-029f69,2024-12-01,Cybersecurity,CA,event,269,12,13160,158,27,0.25,True,2,False,True,False,False,Pro,0.417,0.5,12,1,5,0.2,1,0.2,5,90.0,0,0,0,0,0,0.0,3.0,1
A-02cd81,2024-12-01,HealthTech,IN,other,248,13,30800,572,44,0.308,True,3,False,False,False,False,Pro,0.154,0.462,5,2,6,0.333,2,0.286,19,3334.5,1,0,0,0,0,0.0,4.0,0
A-02fac6,2024-12-01,FinTech,US,event,605,11,26410,280,59,0.727,True,0,False,False,False,True,Pro,0.364,0.545,4,4,2,2.0,4,2.0,46,4226.5,1,0,0,0,0,0.0,3.0,0
A-034368,2024-12-01,EdTech,US,event,392,4,6617,102,29,0.75,True,1,False,False,False,False,Basic,0.25,0.0,13,1,3,0.333,1,0.333,15,5955.0,1,0,0,0,0,0.0,3.0,0
A-0354fe,2024-12-01,Cybersecurity,US,other,40,5,8704,170,34,0.6,True,1,False,True,False,False,Basic,0.4,0.0,5,2,1,2.0,2,2.0,17,2214.5,0,2,0,0,0,8.0,3.0,0
A-038089,2024-12-01,DevTools,FR,other,348,2,2009,41,36,0.5,False,0,False,False,False,False,Pro,0.0,1.0,3,1,1,1.0,1,1.0,9,2826.0,0,0,0,0,0,0.0,3.0,1
A-039727,2024-12-01,EdTech,AU,organic,29,7,13350,214,64,0.571,True,1,True,True,False,False,Enterprise,0.429,0.286,9,2,4,0.5,2,0.5,17,4128.5,0,0,0,0,0,0.0,0.0,1
A-0532a9,2024-12-01,FinTech,IN,event,67,7,12595,145,27,0.286,True,0,False,True,True,False,Basic,0.286,0.286,17,3,6,0.5,4,0.667,39,1892.75,1,1,1,0,0,22.0,3.0,0
A-054577,2024-12-01,EdTech,UK,ads,217,14,27294,398,90,0.643,True,1,False,False,False,False,Pro,0.214,0.429,4,4,1,4.0,3,3.0,40,3788.0,0,0,0,0,0,0.0,4.0,0
A-05d3b3,2024-12-01,DevTools,AU,ads,553,13,12610,233,55,0.462,True,3,False,False,False,False,Basic,0.308,0.231,23,1,8,0.125,1,0.143,13,2483.0,0,1,0,0,1,64.0,4.0,0
A-05f0e5,2024-12-01,FinTech,US,partner,577,12,51109,541,92,0.333,True,0,False,False,False,False,Pro,0.333,0.417,2,5,5,1.0,6,1.5,68,2222.857,1,0,1,0,0,36.0,4.0,0
A-0651a4,2024-12-01,HealthTech,FR,organic,46,6,23294,146,60,0.333,False,0,False,False,False,False,Enterprise,0.667,0.0,1,3,5,0.6,3,0.5,43,4425.667,1,0,1,0,0,66.0,5.0,1
A-068fc6,2024-12-01,EdTech,US,event,503,8,20405,280,35,0.75,True,1,False,False,False,False,Pro,0.25,0.5,6,1,4,0.25,1,0.25,12,1044.0,0,0,0,0,0,0.0,4.0,0
A-075038,2024-12-01,HealthTech,UK,ads,569,14,18909,440,103,0.5,True,3,False,False,False,False,Pro,0.143,0.5,9,3,10,0.3,3,0.3,24,288.0,1,0,1,0,0,37.0,3.0,0
A-089363,2024-12-01,FinTech,AU,event,575,13,21104,245,43,0.538,True,4,False,False,False,False,Enterprise,0.385,0.308,11,2,5,0.4,2,0.4,23,6106.0,1,0,1,0,0,59.0,4.0,0
A-08e34e,2024-12-01,EdTech,US,event,157,8,16193,256,77,0.25,True,1,False,False,False,False,Basic,0.25,0.375,23,1,4,0.25,1,0.25,13,182.0,0,0,0,0,0,0.0,3.0,0
A-09316c,2024-12-01,FinTech,AU,organic,81,8,40810,560,70,0.625,True,1,False,True,False,False,Basic,0.25,0.375,1,2,1,2.0,2,2.0,16,2944.0,1,1,0,0,0,40.0,3.0,1
