account_id,snapshot_date,industry,country,referral_source,tenure_days,total_active_subs,total_mrr,total_seats,max_seats,monthly_ratio,has_manual_renew,active_trials,had_downgrade_30,had_upgrade_30,had_downgrade_31_90,had_upgrade_31_90,primary_plan,enterprise_ratio,pro_ratio,days_since_last_action,unique_features_last_30d,unique_features_31_to_90d,breadth_decay_ratio,active_days_last_30d,activity_drop_ratio,total_usage_count_30d,avg_duration_last_30d,had_error_last_30d,tickets_last_30d,tickets_31_to_90d,escalated_last_90d,had_urgent_ticket_last_90d,avg_resolution_last_90d,latest_csat_score,target
A-00bed1,2024-11-01,Cybersecurity,US,ads,353,10,33506,342,61,0.4,True,1,False,False,False,True,Enterprise,0.5,0.4,0,3,5,0.6,3,0.6,30,2707.333,1,0,0,0,0,0.0,4.0,0
A-00cac8,2024-11-01,HealthTech,AU,organic,413,8,13190,119,39,0.625,True,1,False,False,False,False,Basic,0.375,0.25,21,2,2,1.0,2,1.0,19,1970.5,0,0,0,0,0,0.0,4.0,0
A-0158bb,2024-11-01,FinTech,DE,partner,163,4,836,89,35,0.75,True,2,False,False,False,False,Basic,0.25,0.0,41,0,6,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,3.0,0
A-016043,2024-11-01,EdTech,CA,organic,93,7,8450,151,59,0.429,True,2,False,True,False,True,Enterprise,0.571,0.143,12,2,2,1.0,2,1.0,29,598.0,1,0,0,0,0,0.0,4.0,0
A-019782,2024-11-01,DevTools,FR,event,562,8,8353,108,17,0.25,True,1,False,False,False,False,Basic,0.25,0.375,17,2,9,0.222,2,0.222,23,1425.5,1,0,1,0,1,10.0,4.0,0
A-029f69,2024-11-01,Cybersecurity,CA,event,239,9,12269,149,27,0.333,True,2,False,False,False,False,Enterprise,0.444,0.444,15,1,7,0.143,1,0.111,11,1606.0,1,0,0,0,0,0.0,3.0,0
A-02cd81,2024-11-01,HealthTech,IN,other,218,13,30800,572,44,0.308,True,3,False,False,False,False,Pro,0.154,0.462,8,3,8,0.375,3,0.429,27,3609.0,1,0,0,0,0,0.0,4.0,0
A-02fac6,2024-11-01,FinTech,US,event,575,11,26410,280,59,0.727,True,0,False,True,False,False,Pro,0.364,0.545,3,2,2,1.0,2,1.0,23,4627.5,0,0,0,0,0,0.0,3.0,0
A-034368,2024-11-01,EdTech,US,event,362,3,6066,73,28,0.667,False,1,False,False,False,False,Basic,0.333,0.0,17,1,3,0.333,1,0.333,8,2528.0,0,0,0,0,0,0.0,3.0,0
A-0354fe,2024-11-01,Cybersecurity,US,other,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,14,1,0,0.0,1,0.0,6,2706.0,0,0,0,0,0,0.0,5.0,1
A-038089,2024-11-01,DevTools,FR,other,318,2,2009,41,36,0.5,False,0,False,False,False,False,Pro,0.0,1.0,38,0,3,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,3.0,0
A-039727,2024-11-01,EdTech,AU,organic,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,1,7,0.143,1,0.167,14,5516.0,0,0,0,0,0,0.0,0.0,0
A-0532a9,2024-11-01,FinTech,IN,event,37,4,7026,84,27,0.0,True,0,True,False,False,False,Basic,0.25,0.25,0,3,7,0.429,3,0.429,37,3688.667,0,0,1,0,0,17.0,3.0,0
A-054577,2024-11-01,EdTech,UK,ads,187,11,24033,357,90,0.636,True,0,False,False,False,True,Pro,0.182,0.455,54,0,1,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,0
A-05d3b3,2024-11-01,DevTools,AU,ads,523,13,12610,233,55,0.462,True,3,False,False,False,False,Basic,0.308,0.231,6,3,7,0.429,3,0.429,25,3421.667,0,0,1,0,1,15.0,5.0,0
A-05f0e5,2024-11-01,FinTech,US,partner,547,11,48267,483,92,0.364,True,0,False,False,False,True,Enterprise,0.364,0.364,16,3,3,1.0,3,1.5,33,4233.0,0,1,0,0,0,36.0,4.0,1
A-0651a4,2024-11-01,HealthTech,FR,organic,16,1,11940,60,60,0.0,False,0,False,False,False,False,Enterprise,1.0,0.0,7,5,4,1.25,6,1.5,68,2448.833,1,0,1,0,0,66.0,5.0,1
A-068fc6,2024-11-01,EdTech,US,event,473,8,20405,280,35,0.75,True,1,False,False,False,False,Pro,0.25,0.5,36,0,7,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,0
