account_id,snapshot_date,industry,country,referral_source,tenure_days,total_active_subs,total_mrr,total_seats,max_seats,monthly_ratio,has_manual_renew,active_trials,had_downgrade_30,had_upgrade_30,had_downgrade_31_90,had_upgrade_31_90,primary_plan,enterprise_ratio,pro_ratio,days_since_last_action,unique_features_last_30d,unique_features_31_to_90d,breadth_decay_ratio,active_days_last_30d,activity_drop_ratio,total_usage_count_30d,avg_duration_last_30d,had_error_last_30d,tickets_last_30d,tickets_31_to_90d,escalated_last_90d,had_urgent_ticket_last_90d,avg_resolution_last_90d,latest_csat_score,target
A-00bed1,2024-10-01,Cybersecurity,US,ads,322,10,33506,342,61,0.4,True,1,False,False,False,True,Enterprise,0.5,0.4,3,3,7,0.429,3,0.5,33,2426.333,0,0,0,0,0,0.0,4.0,0
A-00cac8,2024-10-01,HealthTech,AU,organic,382,7,9210,99,39,0.571,True,1,False,False,False,False,Basic,0.286,0.286,25,1,3,0.333,1,0.333,14,7448.0,0,0,0,0,0,0.0,4.0,0
A-0158bb,2024-10-01,FinTech,DE,partner,132,3,836,69,35,0.667,True,1,False,False,False,False,Basic,0.0,0.0,10,4,3,1.333,4,1.333,32,3226.25,1,0,0,0,0,0.0,3.0,0
A-016043,2024-10-01,EdTech,CA,organic,62,4,4341,51,20,0.5,True,1,False,True,False,False,Basic,0.5,0.0,0,2,3,0.667,2,0.667,22,1119.0,0,0,0,0,0,0.0,4.0,0
A-019782,2024-10-01,DevTools,FR,event,531,8,8353,108,17,0.25,True,1,False,False,False,False,Basic,0.25,0.375,7,3,7,0.429,3,0.429,33,3636.667,1,1,0,0,1,10.0,4.0,0
A-029f69,2024-10-01,Cybersecurity,CA,event,208,8,12269,146,27,0.25,True,1,False,False,False,False,Enterprise,0.5,0.375,8,4,6,0.667,5,0.833,51,4158.4,1,0,0,0,0,0.0,3.0,1
A-02cd81,2024-10-01,HealthTech,IN,other,187,13,30800,572,44,0.308,True,3,False,False,False,False,Pro,0.154,0.462,2,5,8,0.625,5,0.625,56,2679.667,1,0,1,1,0,9.0,4.0,0
A-02fac6,2024-10-01,FinTech,US,event,544,9,20954,236,59,0.667,True,0,False,False,False,False,Pro,0.333,0.556,47,0,4,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,3.0,0
A-034368,2024-10-01,EdTech,US,event,331,2,494,45,26,1.0,False,1,False,False,False,False,Basic,0.0,0.0,1,2,4,0.5,2,0.5,26,5235.0,0,0,0,0,0,0.0,3.0,0
A-038089,2024-10-01,DevTools,FR,other,287,2,2009,41,36,0.5,False,0,False,False,False,False,Pro,0.0,1.0,7,1,2,0.5,1,0.5,6,3042.0,0,0,0,0,0,0.0,3.0,1
A-0532a9,2024-10-01,FinTech,IN,event,6,1,361,19,19,0.0,False,0,False,False,False,False,Basic,0.0,0.0,0,4,6,0.667,4,0.667,37,2922.0,1,1,0,0,0,17.0,3.0,1
A-054577,2024-10-01,EdTech,UK,ads,156,10,23577,333,90,0.6,True,0,False,False,True,True,Pro,0.2,0.5,23,1,1,1.0,1,1.0,6,2868.0,0,0,0,0,0,0.0,4.0,0
A-05d3b3,2024-10-01,DevTools,AU,ads,492,13,12610,233,55,0.462,True,3,False,False,False,False,Basic,0.308,0.231,8,5,6,0.833,4,0.5,60,2385.4,0,0,1,0,1,15.0,5.0,0
A-05f0e5,2024-10-01,FinTech,US,partner,516,10,45082,418,92,0.4,True,0,False,False,False,True,Enterprise,0.4,0.3,20,2,5,0.4,1,0.25,14,3087.0,1,0,0,0,0,0.0,4.0,0
A-0651a4,2024-10-01,HealthTech,FR,organic,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,34,0,5,0.0,0,0.0,0,0.0,0,1,0,0,0,66.0,5.0,0
A-068fc6,2024-10-01,EdTech,US,event,442,7,19740,245,35,0.714,True,1,False,False,False,False,Pro,0.286,0.571,5,4,5,0.8,4,0.8,36,3112.0,1,0,0,0,0,0.0,4.0,0
A-075038,2024-10-01,HealthTech,UK,ads,508,13,18111,398,103,0.462,True,3,False,False,False,False,Pro,0.154,0.538,6,6,9,0.667,5,0.5,57,2045.833,1,0,0,0,0,0.0,3.0,0
A-089363,2024-10-01,FinTech,AU,event,514,10,7164,165,40,0.6,True,4,False,False,False,False,Pro,0.3,0.4,14,1,4,0.25,1,0.333,5,2255.0,1,1,0,0,0,59.0,4.0,0
A-08e34e,2024-10-01,EdTech,US,event,96,7,10422,227,77,0.143,True,1,False,False,False,False,Basic,0.143,0.429,23,2,7,0.286,2,0.25,25,4067.5,0,0,1,0,0,68.0,3.0,0
A-09316c,2024-10-01,FinTech,AU,organic,20,3,29190,210,70,0.667,False,0,False,False,False,False,Enterprise,0.667,0.0,17,1,6,0.167,1,0.167,10,2870.0,1,0,0,0,0,0.0,5.0,0
A-09540c,2024-10-01,Cybersecurity,CA,event,337,4,17152,268,67,0.75,True,0,False,False,False,False,Basic,0.25,0.0,21,1,4,0.25,1,0.25,16,1296.0,0,0,0,0,0,0.0,4.0,0
A-098560,2024-10-01,DevTools,UK,ads,346,9,10770,173,35,0.556,True,1,False,False,False,False,Pro,0.222,0.444,12,4,4,1.0,4,1.0,31,2693.0,1,0,0,0,0,0.0,3.0,0
A-0a282f,2024-10-01,DevTools,US,organic,35,2,4975,25,19,0.0,False,0,False,False,False,False,Enterprise,1.0,0.0,16,3,8,0.375,3,0.375,16,1208.0,0,0,0,0,0,0.0,5.0,1
A-0a62f5,2024-10-01,FinTech,UK,partner,20,1,3184,16,16,1.0,False,0,False,False,False,False,Enterprise,1.0,0.0,60,0,2,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,1
A-0aaf6e,2024-10-01,FinTech,US,organic,143,4,2269,90,37,0.5,True,2,False,False,False,False,Basic,0.0,0.5,4,1,5,0.2,1,0.2,8,1856.0,1,0,0,0,0,0.0,3.0,0
