account_id,snapshot_date,industry,country,referral_source,tenure_days,total_active_subs,total_mrr,total_seats,max_seats,monthly_ratio,has_manual_renew,active_trials,had_downgrade_30,had_upgrade_30,had_downgrade_31_90,had_upgrade_31_90,primary_plan,enterprise_ratio,pro_ratio,days_since_last_action,unique_features_last_30d,unique_features_31_to_90d,breadth_decay_ratio,active_days_last_30d,activity_drop_ratio,total_usage_count_30d,avg_duration_last_30d,had_error_last_30d,tickets_last_30d,tickets_31_to_90d,escalated_last_90d,had_urgent_ticket_last_90d,avg_resolution_last_90d,latest_csat_score,target
A-00bed1,2024-09-01,Cybersecurity,US,ads,292,10,33506,342,61,0.4,True,1,False,True,False,False,Enterprise,0.5,0.4,2,2,5,0.4,2,0.4,19,507.0,0,0,0,0,0,0.0,4.0,0
A-00cac8,2024-09-01,HealthTech,AU,organic,352,6,8818,91,39,0.5,True,1,False,False,False,False,Basic,0.333,0.167,22,1,5,0.2,1,0.2,12,6936.0,1,0,0,0,0,0.0,4.0,0
A-0158bb,2024-09-01,FinTech,DE,partner,102,3,836,69,35,0.667,True,1,False,False,False,False,Basic,0.0,0.0,18,2,1,2.0,2,1.0,19,2396.0,1,0,0,0,0,0.0,3.0,0
A-016043,2024-09-01,EdTech,CA,organic,32,1,114,6,6,0.0,True,0,False,False,False,False,Basic,0.0,0.0,36,0,6,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,0
A-019782,2024-09-01,DevTools,FR,event,501,8,8353,108,17,0.25,True,1,False,False,False,False,Basic,0.25,0.375,0,7,2,3.5,7,2.333,80,3882.143,1,0,0,0,0,0.0,0.0,0
A-029f69,2024-09-01,Cybersecurity,CA,event,178,5,7676,89,26,0.0,True,1,False,False,False,False,Enterprise,0.6,0.4,0,4,4,1.0,5,1.25,44,2151.6,1,0,0,0,0,0.0,3.0,0
A-02cd81,2024-09-01,HealthTech,IN,other,157,12,30800,528,44,0.333,True,2,False,False,False,False,Pro,0.167,0.5,0,6,6,1.0,4,0.667,46,2314.0,1,0,1,1,0,9.0,4.0,0
A-02fac6,2024-09-01,FinTech,US,event,514,6,15080,170,59,0.667,True,0,False,False,False,False,Pro,0.333,0.667,17,2,3,0.667,2,0.667,24,2916.0,1,0,0,0,0,0.0,3.0,0
A-034368,2024-09-01,EdTech,US,event,301,2,494,45,26,1.0,False,1,False,False,False,False,Basic,0.0,0.0,1,1,3,0.333,1,0.333,11,1012.0,0,0,0,0,0,0.0,3.0,0
A-038089,2024-09-01,DevTools,FR,other,257,2,2009,41,36,0.5,False,0,False,False,False,False,Pro,0.0,1.0,7,2,0,0.0,2,0.0,27,3430.5,0,0,0,0,0,0.0,3.0,0
A-0532a9,2024-09-01,FinTech,IN,event,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,3,7,0.429,3,0.429,23,1480.333,1,0,0,0,0,0.0,3.0,0
A-054577,2024-09-01,EdTech,UK,ads,126,9,8652,258,90,0.556,True,0,False,True,True,False,Pro,0.111,0.556,38,0,2,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,0
A-05d3b3,2024-09-01,DevTools,AU,ads,462,10,8658,196,55,0.4,True,2,False,False,False,False,Basic,0.2,0.3,5,2,8,0.25,3,0.375,24,3454.667,0,1,0,0,1,15.0,5.0,1
A-05f0e5,2024-09-01,FinTech,US,partner,486,10,45082,418,92,0.4,True,0,False,True,False,True,Enterprise,0.4,0.3,15,1,7,0.143,1,0.2,6,978.0,0,0,1,0,0,13.0,4.0,0
A-068fc6,2024-09-01,EdTech,US,event,412,7,19740,245,35,0.714,True,1,False,False,False,False,Pro,0.286,0.571,6,4,3,1.333,4,1.333,41,5342.0,1,0,0,0,0,0.0,4.0,0
A-075038,2024-09-01,HealthTech,UK,ads,478,13,18111,398,103,0.462,True,3,False,False,False,False,Pro,0.154,0.538,3,8,4,2.0,8,2.0,82,3691.5,1,0,0,0,0,0.0,3.0,1
A-089363,2024-09-01,FinTech,AU,event,484,10,7164,165,40,0.6,True,4,False,False,False,True,Pro,0.3,0.4,52,0,7,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,3.0,0
A-08e34e,2024-09-01,EdTech,US,event,66,5,8805,164,77,0.0,True,1,False,False,False,False,Basic,0.2,0.4,0,4,8,0.5,4,0.5,38,2019.5,1,0,1,0,0,68.0,3.0,1
A-09316c,2024-09-01,FinTech,AU,organic,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,14,2,4,0.5,2,0.5,20,2042.5,1,0,1,1,0,52.0,5.0,0
A-09540c,2024-09-01,Cybersecurity,CA,event,307,4,17152,268,67,0.75,True,0,False,False,False,False,Basic,0.25,0.0,2,1,3,0.333,1,0.333,6,2544.0,0,0,0,0,0,0.0,4.0,0
A-098560,2024-09-01,DevTools,UK,ads,316,7,4866,137,35,0.571,True,1,False,False,False,False,Pro,0.143,0.571,9,1,3,0.333,1,0.333,11,517.0,0,0,0,0,0,0.0,3.0,1
A-0a282f,2024-09-01,DevTools,US,organic,5,1,3781,19,19,0.0,False,0,False,False,False,False,Enterprise,1.0,0.0,10,2,9,0.222,2,0.2,25,4650.0,1,0,0,0,0,0.0,5.0,0
A-0a62f5,2024-09-01,FinTech,UK,partner,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,30,1,1,1.0,1,1.0,9,4167.0,0,0,0,0,0,0.0,4.0,1
A-0aaf6e,2024-09-01,FinTech,US,organic,113,4,2269,90,37,0.5,True,2,False,False,False,False,Basic,0.0,0.5,9,3,4,0.75,3,0.75,27,2594.0,0,0,1,0,0,54.0,3.0,0
A-0baac2,2024-09-01,FinTech,DE,organic,94,1,5771,29,29,0.0,False,0,False,False,False,False,Enterprise,1.0,0.0,15,1,2,0.5,1,0.5,12,564.0,0,0,3,0,0,52.0,5.0,1
A-0cc442,2024-09-01,EdTech,US,organic,45,3,17910,135,45,1.0,False,1,False,False,False,False,Enterprise,1.0,0.0,0,5,7,0.714,5,0.714,58,2912.167,1,0,0,0,0,0.0,3.0,1
A-0dbdc6,2024-09-01,Cybersecurity,DE,other,567,6,14030,200,50,0.5,False,1,False,False,False,False,Pro,0.167,0.5,5,3,5,0.6,4,1.0,38,3377.75,1,0,0,0,0,0.0,4.0,0
A-0e966d,2024-09-01,FinTech,IN,ads,68,2,4577,78,55,0.0,False,1,False,False,False,False,Enterprise,0.5,0.5,11,2,3,0.667,2,0.667,14,791.0,1,0,0,0,0,0.0,4.0,0
A-0f3e88,2024-09-01,HealthTech,US,other,406,7,4749,111,24,0.714,True,0,False,False,False,False,Basic,0.143,0.143,4,3,6,0.5,2,0.333,32,1694.0,1,0,1,0,0,65.0,5.0,0
A-104f1a,2024-09-01,Cybersecurity,US,other,15,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,7,3,1,3.0,3,3.0,26,3062.0,1,0,0,0,0,0.0,3.0,1
A-10b8da,2024-09-01,DevTools,US,partner,482,5,7121,82,23,0.4,True,1,False,False,False,False,Enterprise,0.6,0.2,78,0,2,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,4.0,0
A-10b8f2,2024-09-01,HealthTech,DE,organic,599,11,28367,584,103,0.273,True,3,False,True,False,False,Basic,0.182,0.182,10,3,5,0.6,3,0.6,30,3356.0,0,0,0,0,0,0.0,3.0,0
A-117171,2024-09-01,HealthTech,FR,organic,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,2,3,0.667,2,0.667,21,5972.5,1,1,0,0,0,22.0,3.0,0
A-13466a,2024-09-01,DevTools,AU,event,315,5,13172,133,65,0.6,True,1,False,False,False,False,Enterprise,0.6,0.0,66,0,2,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,5.0,0
A-151c9a,2024-09-01,FinTech,US,ads,583,5,14250,150,52,0.6,True,0,False,False,False,False,Pro,0.4,0.6,14,3,0,0.0,3,0.0,36,4396.0,0,0,0,0,0,0.0,3.0,0
A-157070,2024-09-01,FinTech,US,ads,297,10,17040,213,35,0.4,True,1,False,False,False,False,Pro,0.3,0.4,12,3,8,0.375,3,0.3,36,3167.667,0,0,0,0,0,0.0,4.0,0
A-158f4e,2024-09-01,FinTech,IN,other,548,9,27572,549,61,0.444,True,1,False,False,False,False,Pro,0.111,0.556,12,2,5,0.4,2,0.5,19,2406.0,0,1,0,0,0,67.0,4.0,0
A-1619f8,2024-09-01,DevTools,US,organic,104,3,11496,113,55,0.667,True,1,False,False,False,False,Basic,0.333,0.333,0,3,6,0.5,3,0.5,32,3366.333,0,0,0,0,0,0.0,5.0,1
A-180abf,2024-09-01,DevTools,US,event,384,5,29824,320,64,0.4,True,1,False,False,False,False,Basic,0.4,0.2,15,1,5,0.2,1,0.2,11,2046.0,0,0,1,0,0,10.0,3.0,1
A-186a44,2024-09-01,HealthTech,US,ads,391,7,7276,144,24,0.571,True,1,False,False,False,False,Basic,0.143,0.286,16,4,8,0.5,3,0.333,28,1254.5,1,0,2,0,0,35.0,3.0,0
A-1986ca,2024-09-01,HealthTech,IN,ads,580,4,14129,91,31,0.75,True,1,False,False,False,False,Enterprise,1.0,0.0,6,2,4,0.5,3,1.0,28,2872.0,1,1,1,0,1,48.0,3.0,0
A-19b2c8,2024-09-01,DevTools,IN,other,453,12,22723,267,33,0.5,True,1,False,True,False,False,Enterprise,0.417,0.25,0,3,5,0.6,3,0.6,30,3616.333,0,0,0,0,0,0.0,5.0,0
A-1b707d,2024-09-01,Cybersecurity,US,organic,415,5,8097,63,19,0.4,True,0,False,False,False,False,Enterprise,0.4,0.4,15,1,4,0.25,1,0.25,12,4860.0,0,0,0,0,0,0.0,4.0,0
A-1b9609,2024-09-01,EdTech,IN,ads,325,9,16487,173,49,0.556,True,0,False,False,False,False,Basic,0.333,0.333,10,2,11,0.182,2,0.25,9,1083.5,1,0,0,0,0,0.0,3.0,0
A-1d5444,2024-09-01,Cybersecurity,US,partner,227,11,29782,298,41,0.455,True,0,False,False,False,False,Basic,0.364,0.091,13,1,6,0.167,1,0.2,4,1516.0,0,0,0,0,0,0.0,4.0,0
A-1e1b80,2024-09-01,FinTech,CA,other,355,10,47697,503,53,0.5,True,1,False,False,False,False,Enterprise,0.5,0.2,31,0,9,0.0,0,0.0,0,0.0,0,1,0,0,0,69.0,3.0,0
A-1e50e0,2024-09-01,Cybersecurity,DE,other,558,4,9514,155,98,0.75,True,1,False,False,False,False,Enterprise,0.5,0.5,73,0,2,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0
A-1e6fc3,2024-09-01,EdTech,FR,other,270,3,245,17,11,0.333,False,2,False,False,False,False,Basic,0.0,0.333,24,1,3,0.333,1,0.333,13,7410.0,0,0,0,0,0,0.0,3.0,0
A-1f0636,2024-09-01,EdTech,AU,partner,244,8,69825,840,105,0.25,True,3,False,False,False,True,Enterprise,0.375,0.375,14,1,5,0.2,1,0.167,5,895.0,0,1,0,0,0,17.0,3.0,0
A-1f0ac7,2024-09-01,HealthTech,UK,other,371,5,7491,153,47,0.6,True,1,False,False,False,True,Basic,0.2,0.4,1,1,6,0.167,1,0.167,6,1752.0,0,0,0,0,0,0.0,4.0,0
A-1f559b,2024-09-01,HealthTech,US,organic,363,9,11566,214,59,0.667,True,0,False,False,False,False,Basic,0.111,0.444,4,2,2,1.0,2,2.0,24,2816.0,1,0,0,0,0,0.0,4.0,1
A-1f7acb,2024-09-01,FinTech,UK,ads,392,7,34176,448,64,0.429,True,1,True,False,True,False,Basic,0.286,0.286,3,2,8,0.25,2,0.2,25,3808.0,1,0,1,0,0,70.0,5.0,0
A-202b67,2024-09-01,HealthTech,US,organic,163,7,11858,152,61,0.571,True,0,False,False,False,True,Pro,0.286,0.429,7,2,5,0.4,2,0.4,20,2984.0,1,0,2,0,1,52.0,5.0,1
