account_id,snapshot_date,industry,country,referral_source,tenure_days,total_active_subs,total_mrr,total_seats,max_seats,monthly_ratio,has_manual_renew,active_trials,had_downgrade_30,had_upgrade_30,had_downgrade_31_90,had_upgrade_31_90,primary_plan,enterprise_ratio,pro_ratio,days_since_last_action,unique_features_last_30d,unique_features_31_to_90d,breadth_decay_ratio,active_days_last_30d,activity_drop_ratio,total_usage_count_30d,avg_duration_last_30d,had_error_last_30d,tickets_last_30d,tickets_31_to_90d,escalated_last_90d,had_urgent_ticket_last_90d,avg_resolution_last_90d,latest_csat_score,target
A-10b8f2,2023-02-01,HealthTech,DE,organic,21,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,9,3,0,0.0,2,0.0,42,1656.0,0,0,0,0,0,0.0,0.0,0
A-151c9a,2023-02-01,FinTech,US,ads,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,19,1,0,0.0,1,0.0,13,7800.0,0,0,0,0,0,0.0,0.0,0
A-1986ca,2023-02-01,HealthTech,IN,ads,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,24,1,0,0.0,1,0.0,12,3132.0,0,0,0,0,0,0.0,0.0,0
A-1e50e0,2023-02-01,Cybersecurity,DE,other,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,1,0,0.0,1,0.0,12,5760.0,0,0,0,0,0,0.0,0.0,0
A-32728c,2023-02-01,DevTools,US,event,29,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,16,3,0,0.0,3,0.0,30,2633.667,1,1,0,0,0,40.0,3.0,0
A-39b19f,2023-02-01,FinTech,US,partner,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0.0,3,0.0,53,3735.25,1,0,0,0,0,0.0,0.0,0
A-3b37d9,2023-02-01,FinTech,US,event,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,32.0,5.0,0
A-432483,2023-02-01,Cybersecurity,US,ads,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,15,1,0,0.0,1,0.0,13,1534.0,1,0,0,0,0,0.0,0.0,0
A-484819,2023-02-01,HealthTech,US,organic,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,3,0,0.0,3,0.0,39,4173.333,1,0,0,0,0,0.0,0.0,0
A-6e08f3,2023-02-01,Cybersecurity,US,event,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,3,3,0,0.0,3,0.0,26,2151.333,1,0,0,0,0,0.0,0.0,0
A-7641d3,2023-02-01,EdTech,US,partner,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,20,1,0,0.0,1,0.0,12,5304.0,0,0,0,0,0,0.0,0.0,0
A-779e4e,2023-02-01,HealthTech,US,organic,30,2,3753,27,18,0.0,False,0,False,True,False,False,Basic,0.5,0.0,4,5,0,0.0,5,0.0,49,2762.4,1,1,0,0,1,33.0,3.0,0
A-7df7a7,2023-02-01,DevTools,US,organic,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0.0,5,0.0,48,3738.0,0,0,0,0,0,0.0,0.0,0
A-91e948,2023-02-01,EdTech,AU,partner,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,1,0,0.0,1,0.0,11,1738.0,0,0,0,0,0,0.0,0.0,0
A-977ca0,2023-02-01,HealthTech,IN,partner,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,4,0,0.0,5,0.0,41,2132.8,1,0,0,0,0,0.0,0.0,0
A-9ee962,2023-02-01,HealthTech,US,ads,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,12,1,0,0.0,1,0.0,13,3276.0,0,0,0,0,0,0.0,0.0,0
A-a7bd4b,2023-02-01,Cybersecurity,US,ads,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,3,0,0.0,3,0.0,23,1276.0,1,0,0,0,0,0.0,0.0,0
A-af0cd2,2023-02-01,Cybersecurity,IN,other,29,1,931,19,19,1.0,False,0,False,False,False,False,Pro,0.0,1.0,22,1,0,0.0,1,0.0,15,8970.0,0,0,0,0,0,0.0,0.0,0
A-b11cd0,2023-02-01,DevTools,US,ads,12,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,21,1,0,0.0,1,0.0,16,4240.0,0,0,0,0,0,0.0,0.0,0
A-b9f5b1,2023-02-01,Cybersecurity,US,other,8,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,11,3,0,0.0,3,0.0,35,3318.667,1,0,0,0,0,0.0,0.0,0
A-bbe56f,2023-02-01,HealthTech,US,ads,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,13,2,0,0.0,2,0.0,17,1765.0,1,0,0,0,0,0.0,0.0,0
A-c7ffc2,2023-02-01,Cybersecurity,US,partner,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0.0,6,0.0,70,3423.429,1,0,0,0,0,0.0,0.0,0
A-d792a6,2023-02-01,DevTools,US,organic,9,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,19,2,0,0.0,2,0.0,30,4290.0,0,0,0,0,0,0.0,0.0,0
A-e1b9cd,2023-02-01,DevTools,US,event,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0.0,2,0.0,19,4516.5,1,0,0,0,0,0.0,0.0,0
A-e6afc1,2023-02-01,DevTools,US,ads,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,5,0,0.0,5,0.0,48,2453.6,1,0,0,0,0,0.0,0.0,0
